molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL109822,CCCCn1c(Cc2ccc3c(c2)OCO3)nc2c(N)nc(F)nc21,inactive,343.362,2.6672000000000002,1.0,7.0,4.767003889607846
CHEMBL324951,COc1ccc(OC)c(Cc2nc3nc(F)nc(N)c3[nH]2)c1,inactive,303.29699999999997,1.6821999999999997,2.0,6.0,4.2716462179787715
CHEMBL112953,C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21,inactive,433.8710000000001,3.2310000000000008,1.0,8.0,4.522878745280337
CHEMBL414883,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,active,364.78100000000006,2.6916000000000015,2.0,6.0,6.698970004336019
CHEMBL112896,CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)ncnc21,inactive,405.8860000000001,3.478600000000001,1.0,8.0,3.6989700043360187
CHEMBL326651,CCCCn1c(Cc2cc(OC)ccc2OC)nc2c(N)nc(F)nc21,inactive,359.4050000000001,2.9557,1.0,7.0,4.844663962534939
CHEMBL109612,CCCCn1c(Cc2cccc(OC)c2)nc2c(N)ncnc21,inactive,311.389,2.808,1.0,6.0,4.1249387366083
CHEMBL113690,CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2)nc2c(N)ncnc21,inactive,371.44100000000003,2.8252000000000006,1.0,8.0,3.6989700043360187
CHEMBL112834,CCCCn1c(Cc2ccc(OC)cc2)nc2c(N)ncnc21,inactive,311.389,2.808,1.0,6.0,3.6989700043360187
CHEMBL326523,C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)ncnc21,inactive,415.8810000000001,3.0919000000000008,1.0,8.0,3.6989700043360187
CHEMBL326564,CCCCn1c(Cc2ccc3c(c2)OCO3)nc2c(N)ncnc21,inactive,325.372,2.5281000000000002,1.0,7.0,4.815308569182401
CHEMBL109480,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,inactive,585.6980000000002,2.537600000000001,4.0,9.0,4.872895201635193
CHEMBL113194,CCCCn1c(Cc2cc(OC)ccc2OC)nc2c(N)ncnc21,inactive,341.4150000000001,2.8166,1.0,7.0,4.3872161432802645
CHEMBL129334,COc1ccccc1C(=O)NC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,active,679.7670000000002,3.2006000000000014,4.0,10.0,6.7447274948966935
CHEMBL434826,COc1ccc(N2CCN(Cc3ccc(C(=O)NC4=C5C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC4=O)C5=O)cc3)CC2)cc1,active,854.0140000000001,4.522800000000005,4.0,12.0,6.657577319177793
CHEMBL126784,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(c3ccccc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,606.7160000000002,3.961700000000002,3.0,8.0,6.552841968657781
CHEMBL338516,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3ccc(F)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,667.7310000000001,3.331100000000001,4.0,9.0,6.6020599913279625
CHEMBL127176,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)OCCCCN3CCOCC3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,730.8560000000004,2.6006000000000027,4.0,12.0,6.301029995663981
CHEMBL340876,CCOC(=O)NC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,active,617.6960000000003,2.5081000000000016,4.0,10.0,6.585026652029182
CHEMBL340163,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3ccco3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,639.7020000000002,2.785,4.0,10.0,6.301029995663981
CHEMBL436584,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3cccs3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,655.7700000000001,3.2535000000000016,4.0,10.0,6.3979400086720375
CHEMBL124850,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3ccc([N+](=O)[O-])cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,694.7380000000002,3.100200000000001,4.0,11.0,6.522878745280337
CHEMBL127177,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3ccc(CCl)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,698.2130000000003,3.9308000000000023,4.0,9.0,6.259637310505756
CHEMBL341346,CCN(Cc1ccccc1)Cc1ccc(C(=O)NC2=C3C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC2=O)C3=O)cc1,active,796.9620000000001,5.214100000000005,4.0,10.0,6.853871964321762
CHEMBL124522,COc1ccc(C(=O)NC2=C3C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC2=O)C3=O)cc1,active,679.7670000000002,3.2006000000000014,4.0,10.0,6.3979400086720375
CHEMBL127821,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3ccc(CN4CCN(c5ccc([N+](=O)[O-])cc5)CC4)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,868.9849999999999,4.422400000000002,4.0,13.0,6.698970004336019
CHEMBL339123,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3ccc(CN4CCN(c5ccc(Cl)cc5)CC4)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,858.433,5.167600000000005,4.0,11.0,6.6020599913279625
CHEMBL338255,C=CCNC(=O)NC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,inactive,628.7230000000002,2.247200000000001,5.0,9.0,5.0
CHEMBL340667,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3cccc(CCl)c3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,698.2130000000003,3.9308000000000023,4.0,9.0,6.0
CHEMBL436002,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3ccc(CN4CCN(C)CC4)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,761.9170000000003,2.9394000000000027,4.0,11.0,6.096910013008056
CHEMBL339562,COc1cccc(C(=O)NC2=C3C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC2=O)C3=O)c1,active,679.7670000000002,3.2006000000000014,4.0,10.0,6.7447274948966935
CHEMBL338338,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3ccc(CN4CCCCC4)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,inactive,746.9020000000004,4.177900000000002,4.0,10.0,5.0
CHEMBL435016,CCCN(CCC)Cc1ccc(C(=O)NC2=C3C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC2=O)C3=O)cc1,active,762.9450000000002,4.814000000000004,4.0,10.0,6.301029995663981
CHEMBL434051,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(c3cccs3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,612.7450000000002,4.023200000000003,3.0,9.0,6.6020599913279625
CHEMBL127088,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3ccc(CN4CCN(C5CCCCC5)CC4)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,830.0360000000003,4.642300000000003,4.0,11.0,6.221848749616356
CHEMBL127839,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3ccc(CN4CCc5ccccc5C4)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,794.9460000000003,4.750300000000004,4.0,10.0,6.698970004336019
CHEMBL338481,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)OCC(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,645.7500000000002,3.1442000000000005,4.0,10.0,6.920818753952375
CHEMBL127158,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)c3ccccc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,649.7410000000002,3.192000000000001,4.0,9.0,6.698970004336019
CHEMBL127864,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)OCc3ccc(OC(C)=O)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,active,737.8030000000002,3.6137000000000015,4.0,12.0,7.301029995663981
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,active,560.6440000000002,2.4084000000000003,3.0,9.0,6.698970004336019
CHEMBL1628128,CO[C@@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCC[C@@H]3C[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@]4(C)[C@H]3O)=C(C[C@H](C)C[C@@H](OC)[C@@H](O)[C@H](C)/C=C(\C)[C@H]1OC(N)=O)C2=O,inactive,858.0860000000002,5.980700000000007,6.0,11.0,2.6989700043360187
CHEMBL1628044,CO[C@@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCC[C@@H]3C[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@]4(C)[C@H]3O)=C(C[C@H](C)C[C@@H](OC)[C@@H](O)[C@H](C)/C=C(\C)[C@H]1OC(N)=O)C2=O,inactive,872.1130000000002,6.370800000000007,6.0,11.0,2.6989700043360187
CHEMBL191241,C#CCCCn1c(Sc2cccc(OC)c2)nc2c(N)ncnc21,inactive,339.4240000000001,2.9817,1.0,7.0,4.548213564475709
CHEMBL370286,C#CCCCn1c(Sc2ccc(OC)cc2)nc2c(N)ncnc21,inactive,339.4240000000001,2.9817,1.0,7.0,4.1249387366083
CHEMBL426086,C#CCCCn1c(Sc2ccc(Cl)cc2)nc2c(N)ncnc21,inactive,343.84300000000013,3.626500000000002,1.0,6.0,4.349692476868063
CHEMBL363860,C#CCCCn1c(Sc2ccc(C(C)=O)cc2)nc2c(N)ncnc21,inactive,351.4350000000001,3.175700000000001,1.0,7.0,3.8239087409443187
CHEMBL364730,C#CCCCn1c(Sc2ccc(-n3cccc3)cc2)nc2c(N)ncnc21,inactive,374.4730000000001,3.7638000000000007,1.0,7.0,3.5072396109731625
CHEMBL371570,C#CCCCn1c(Sc2ccc(OC)cc2OC)nc2c(N)ncnc21,inactive,369.4500000000001,2.9903000000000004,1.0,8.0,3.8239087409443187
CHEMBL424824,C#CCCCn1c(Sc2ccc(C)cc2C)nc2c(N)ncnc21,inactive,337.4520000000001,3.5899400000000012,1.0,6.0,4.406713932979542
CHEMBL365118,C#CCCCn1c(Sc2ccc(Cl)cc2Cl)nc2c(N)ncnc21,inactive,378.2880000000001,4.279900000000002,1.0,6.0,3.449771646944906
CHEMBL364239,C#CCCCn1c(Sc2cc(C)ccc2C)nc2c(N)ncnc21,inactive,337.4520000000001,3.5899400000000012,1.0,6.0,3.832682665251824
CHEMBL364450,C#CCCCn1c(Sc2cc(Cl)ccc2Cl)nc2c(N)ncnc21,inactive,378.2880000000001,4.279900000000002,1.0,6.0,4.576754126063192
CHEMBL191635,C#CCCCn1c(Sc2cc(OC)ccc2I)nc2c(N)ncnc21,active,465.3200000000001,3.5863000000000014,1.0,7.0,6.0915149811213505
CHEMBL364456,C#CCCCn1c(Sc2cc(C(F)(F)F)ccc2Cl)nc2c(N)ncnc21,inactive,411.84000000000015,4.645300000000002,1.0,6.0,4.444905551421681
CHEMBL192013,C#CCCCn1c(Sc2cc(Cl)cc(Cl)c2)nc2c(N)ncnc21,inactive,378.2880000000001,4.279900000000002,1.0,6.0,4.218244625347531
CHEMBL195096,C#CCCCn1c(Sc2cc(C)cc(C)c2)nc2c(N)ncnc21,inactive,337.4520000000001,3.5899400000000012,1.0,6.0,4.0
CHEMBL192480,C#CCCCn1c(Sc2cc(Cl)c(Cl)cc2Cl)nc2c(N)ncnc21,inactive,412.7330000000002,4.933300000000001,1.0,6.0,4.236572006437063
CHEMBL365159,C#CCCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)ncnc21,active,432.3030000000002,3.4643000000000015,1.0,8.0,6.522878745280337
